ID,Species,Cross,Database,ProbeSetID / RecordID,Symbol,Description,ProbeTarget,PubMed_ID,Phenotype,Chr,Mb,Alias,Gene_ID,HomoloGene_ID,UniGene_ID,Strand_Probe,Strand_Gene,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,B6D2F1,D2B6F1,C57BL/6J,DBA/2J,BXD1,BXD2,BXD5,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD15,BXD16,BXD18,BXD19,BXD20,BXD21,BXD22,BXD23,BXD24,BXD24a,BXD25,BXD27,BXD28,BXD29,BXD30,BXD31,BXD32,BXD33,BXD34,BXD35,BXD36,BXD37,BXD38,BXD39,BXD40,BXD41,BXD42,BXD43,BXD44,BXD45,BXD48,BXD48a,BXD49,BXD50,BXD51,BXD52,BXD53,BXD54,BXD55,BXD56,BXD59,BXD60,BXD61,BXD62,BXD63,BXD64,BXD65,BXD65a,BXD65b,BXD66,BXD67,BXD68,BXD69,BXD70,BXD71,BXD72,BXD73,BXD73a,BXD73b,BXD74,BXD75,BXD76,BXD77,BXD78,BXD79,BXD81,BXD83,BXD84,BXD85,BXD86,BXD87,BXD88,BXD89,BXD90,BXD91,BXD93,BXD94,BXD95,BXD98,BXD99,BXD100,BXD101,BXD102,BXD104,BXD105,BXD106,BXD107,BXD108,BXD109,BXD110,BXD111,BXD112,BXD113,BXD114,BXD115,BXD116,BXD117,BXD119,BXD120,BXD121,BXD122,BXD123,BXD124,BXD125,BXD126,BXD127,BXD128,BXD128a,BXD130,BXD131,BXD132,BXD133,BXD134,BXD135,BXD136,BXD137,BXD138,BXD139,BXD141,BXD142,BXD144,BXD145,BXD146,BXD147,BXD148,BXD149,BXD150,BXD151,BXD152,BXD153,BXD154,BXD155,BXD156,BXD157,BXD160,BXD161,BXD162,BXD165,BXD168,BXD169,BXD170,BXD171,BXD172,BXD173,BXD174,BXD175,BXD176,BXD177,BXD178,BXD180,BXD181,BXD183,BXD184,BXD186,BXD187,BXD188,BXD189,BXD190,BXD191,BXD192,BXD193,BXD194,BXD195,BXD196,BXD197,BXD198,BXD199,BXD200,BXD201,BXD202,BXD203,BXD204,BXD205,BXD206,BXD207,BXD208,BXD209,BXD210,BXD211,BXD212,BXD213,BXD214,BXD215,BXD216,BXD217,BXD218,BXD219,BXD220
11,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10384940,Erlec1,endoplasmic reticulum lectin 1,,,,11,30.929784,Erlec1; RP23-20N14.5; 4933407N01Rik,66753,9247,,-,-,0,0,30.929784,30.954141,10,45.611814,rs29375788,13.5186655590014,0,10.6047,10.61,10.681,10.636,10.618,10.684,,,,,,10.689,10.775,,10.272,,,,,,,,,10.59,,,10.614,,10.561,,10.699,10.648,,10.586,,,,,10.524,10.575,,10.556,10.589,10.528,10.404,10.707,,10.28,10.745,,,,,,10.613,,10.562,,10.659,10.721,,10.692,10.646,10.76,,,10.548,10.529,10.722,10.54,,10.448,10.553,10.508,,10.55,,,,10.609,,10.688,10.484,10.649,,10.68,,10.56,10.68,,,,10.734,,10.676,10.665,10.674,10.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10374998,Gpr75,G protein-coupled receptor 75,,,,11,30.891008,Gpr75; RP23-20N14.1,237716,4945,,+,+,0,0,30.891008,30.892746,6,115.878848,rs31506637,13.2722989099343,0,10.80312,10.858,10.602,10.749,10.782,10.693,,,,,,10.898,10.815,,11.001,,,,,,,,,10.561,,,10.9,,10.859,,10.939,10.646,,10.772,,,,,10.865,10.614,,10.914,10.644,10.888,10.89,10.943,,11.079,10.864,,,,,,10.831,,10.63,,10.509,10.805,,10.812,10.827,10.822,,,10.858,10.704,11.022,10.882,,10.754,10.59,10.84,,10.689,,,,10.931,,10.803,10.338,10.902,,10.926,,10.849,10.688,,,,11.006,,10.974,10.656,10.926,10.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10477604,Itch,"itchy, E3 ubiquitin protein ligase",,,,2,155.133532,AIP4; A130065M08; 6720481N21Rik; 8030492O04Rik; C230047C07Rik; AIF4; ADMFD; NAPP1,16396,88442,,+,+,0,0,155.133532,155.226854,2,149.6402,rs29541164,16.9889168208784,0,10.117,10.216,10.136,10.16,10.157,10.026,,,,,,10.136,10.12,,10.093,,,,,,,,,9.996,,,10.136,,10.048,,9.986,10.09,,10.262,,,,,10.161,10.031,,10.054,10.266,10.192,10.088,10.139,,10.093,10.015,,,,,,10.146,,10.147,,10.221,10.184,,10.172,10.09,10.122,,,10.164,10.184,10.004,10.17,,10.062,10.143,10.224,,10.146,,,,10.157,,10.064,10.012,10.159,,10.067,,10.137,10.052,,,,10.062,,10.056,10.114,10.102,10.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10576610,Pard3,par-3 (partitioning defective 3) homolog (C. elegans),,,,8,127.064245,Pard3; AA960621; AI256638; ASIP; D8Ertd580e; PAR-3; Par3; Pard3a,93742,10489,,+,+,0,0,127.064245,127.61083,2,148.055323,rs6209325,15.0564958869255,0,9.3144,9.306,9.302,9.39,9.397,9.279,,,,,,9.206,9.317,,9.253,,,,,,,,,9.282,,,9.234,,9.252,,9.246,9.354,,9.336,,,,,9.282,9.352,,9.25,9.392,9.361,9.375,9.289,,9.38,9.206,,,,,,9.372,,9.349,,9.392,9.327,,9.348,9.32,9.287,,,9.344,9.363,9.264,9.324,,9.355,9.366,9.488,,9.326,,,,9.274,,9.29,9.17,9.335,,9.252,,9.313,9.348,,,,9.245,,9.299,9.346,9.223,9.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10374934,Psme4,"proteasome (prosome, macropain) activator subunit 4",,,,11,30.771983,Psme4; RP23-20N14.3; AA409398; AU041366; KIAA0077; TEMO; mKIAA0077,103554,113742,,+,+,0,0,30.771983,30.879734,8,56.006299,rs3659789,10.6757136071256,0,9.76562,9.795,9.93,9.694,9.932,9.866,,,,,,9.798,9.937,,9.823,,,,,,,,,9.716,,,9.952,,10.032,,9.567,9.96,,10.076,,,,,10.003,9.614,,9.74,9.427,9.526,9.586,9.958,,9.608,9.75,,,,,,9.967,,9.478,,9.724,9.783,,9.738,9.786,9.768,,,10.028,9.395,9.833,9.79,,9.524,9.54,9.627,,9.627,,,,9.841,,9.836,9.38,9.956,,9.653,,9.812,9.985,,,,9.804,,9.829,9.974,9.998,9.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10410995,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2,,,,13,92.024037,Rasgrf2; 6330417G04Rik; AW048350; Grf2; Ras-GRF2,19418,2169,,-,-,0,0,92.024037,92.901449,10,14.438092,rs49503966,15.8192118976569,0,11.25876,11.197,11.34,11.257,11.223,11.234,,,,,,11.268,11.267,,11.115,,,,,,,,,11.155,,,11.152,,11.294,,10.953,11.307,,11.369,,,,,11.17,11.266,,11.161,11.315,11.351,11.208,11.273,,11.113,11.21,,,,,,11.439,,11.296,,11.176,11.217,,11.249,11.334,11.363,,,11.264,11.298,11.279,11.105,,11.341,11.417,11.375,,11.278,,,,11.306,,11.376,11.014,11.229,,11.313,,11.229,11.49,,,,11.29,,11.235,11.284,11.29,11.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10430458,Sox10,SRY-box containing gene 10,,,,15,79.154909,Sox10; Dom; Sox21,20665,5055,,-,-,0,0,79.154909,79.16524,X,80.055932,rs29031335,14.7171699253969,0,9.53968,9.687,9.452,9.646,9.445,9.446,,,,,,9.468,9.507,,9.665,,,,,,,,,9.426,,,9.41,,9.392,,9.627,9.54,,9.364,,,,,9.49,9.651,,9.692,9.534,9.708,9.69,9.39,,9.912,9.498,,,,,,9.503,,9.567,,9.542,9.302,,9.569,9.502,9.376,,,9.43,9.759,9.484,9.514,,9.714,9.528,9.657,,9.469,,,,9.616,,9.44,9.692,9.628,,9.73,,9.544,9.388,,,,9.45,,9.629,9.38,9.46,9.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10422272,Sox21,SRY-box containing gene 21,,,,14,118.233232,Sox21; Sox25,223227,5143,,-,-,0,0,118.233232,118.236431,9,110.635748,rs29593654,8.22841258280503,0,8.84472,8.902,8.8,8.764,8.772,8.736,,,,,,8.796,8.876,,8.859,,,,,,,,,8.809,,,8.804,,8.79,,9.031,8.832,,8.764,,,,,8.62,8.856,,8.785,8.943,9.013,8.939,8.849,,8.994,8.747,,,,,,8.689,,8.906,,8.89,8.849,,8.919,8.748,8.76,,,8.801,8.86,8.863,8.874,,8.966,8.917,8.816,,8.874,,,,8.888,,8.876,9,8.63,,8.918,,8.892,8.828,,,,8.892,,8.758,8.692,8.812,9.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10601701,Tmem35,transmembrane protein 35,,,,X,134.295225,Tmem35; RP23-162B19.3; 9030603L14Rik; AI841526; PMP52,67564,11008,,+,+,0,0,134.295225,134.305969,11,98.136016,rs27086489,8.04624680836103,0,10.53192,10.439,10.654,10.606,10.536,10.482,,,,,,10.442,10.518,,10.465,,,,,,,,,10.679,,,10.454,,10.628,,10.407,10.586,,10.487,,,,,10.284,10.544,,10.565,10.624,10.611,10.544,10.521,,10.603,10.484,,,,,,10.659,,10.535,,10.673,10.418,,10.55,10.466,10.561,,,10.476,10.619,10.468,10.335,,10.664,10.869,10.571,,10.502,,,,10.282,,10.576,10.5,10.478,,10.572,,10.481,10.592,,,,10.39,,10.472,10.652,10.476,10.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10606658,Trmt2b,TRM2 tRNA methyltransferase 2 homolog B (S. cerevisiae),,,,X,134.222955,Trmt2b; RP23-162B19.2; 4732479N06Rik,215201,11782,,-,-,0,0,134.222955,134.276984,19,23.844199,rs30816133,10.0046229737049,0,9.39516,9.42,9.365,9.603,9.332,9.259,,,,,,9.464,9.451,,9.367,,,,,,,,,9.407,,,9.387,,9.457,,9.381,9.372,,9.388,,,,,9.193,9.376,,9.531,9.506,9.337,9.501,9.249,,9.436,9.116,,,,,,9.264,,9.53,,9.558,9.412,,9.496,9.28,9.358,,,9.352,9.436,9.318,9.413,,9.476,9.45,9.43,,9.371,,,,9.386,,9.322,9.494,9.488,,9.337,,9.466,9.316,,,,9.46,,9.337,9.349,9.366,9.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10410975,Zcchc9,"zinc finger, CCHC domain containing 9",,,,13,91.796533,Zcchc9; 1810019C21Rik,69085,12999,,-,-,0,0,91.796533,91.807705,3,64.335633,UNCHS008889,8.88415762573385,0,8.7187,8.848,8.764,8.707,8.83,8.683,,,,,,8.751,8.912,,8.27,,,,,,,,,8.732,,,8.822,,8.638,,8.618,8.795,,8.858,,,,,8.74,8.572,,8.816,8.578,8.73,8.78,8.994,,8.669,8.634,,,,,,8.639,,8.513,,8.748,8.964,,8.766,8.717,8.772,,,8.84,8.662,8.796,8.707,,8.578,8.676,8.703,,8.56,,,,8.658,,8.593,8.571,8.81,,8.754,,8.734,8.779,,,,8.757,,8.72,8.674,8.845,8.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
